CVR Nummer,Navn,Kommune Navn
18016370,PSYKOLOGISK KLINIK V/LISBETH LANKEN PETERSEN,SLAGELSE
14920196,LÆGERNE FRODE JENSEN OG           TUE FLINDT MØLLER,SLAGELSE
25801210,C. H. FRUGT HOLDING ApS,SLAGELSE
32760686,HF Grønland,SLAGELSE
33678169,Kunstnerlavet KIT,SLAGELSE
27227082,EJENDOMSSELSKABET BOGENSEVEJ 11 ApS,SLAGELSE
34836574,Fysioterapien v/Kathrine Dybdahl,SLAGELSE
35124225,NemRabat,SLAGELSE
33811241,Slagelse Fotoklub,SLAGELSE
26652650,Kirkelygaard                      v/Winnie Søndergaard Nielsen,HASHØJ
34830851,helleformassage,SLAGELSE
29883173,Jobcentrum v/Susanne J Hagelberg,SLAGELSE
25685873,In-Golf i/s,SLAGELSE
16529532,KEBAB HOUSE                       V/ LATIF IBISOGLU,SLAGELSE
33541678,Arnes Auto v/Arne Nordam Jensen,SLAGELSE
29625336,CLAUS NIELSEN'S BLIK OG VVS ApS,SLAGELSE
27762379,Hair Fashion v/Pia Spottog,SLAGELSE
35132147,Byen's tagrens,SLAGELSE
30145216,AK-ATLAS (Vægtløftning),SLAGELSE
26888026,Trelleborg Golfklub Slagelse,SLAGELSE
25547977,Henrik Hansen,SLAGELSE
18420074,MICHAEL NIELSEN,SLAGELSE
20605642,LARS AABERG,SLAGELSE
54755015,EJERLEJLIGHEDSFOREN NANSENSGADE,SLAGELSE
43601849,Grundejerforeningen  Stjernebakken,SLAGELSE
35894675,ENERGIINGENIØRERNE ApS,SLAGELSE
25464842,TÅRNHØJ HOLDING ApS,SLAGELSE
72253655,GÅRDEJER SØREN K JENSEN,SLAGELSE
67087119,EL-INSTALLATØR KNUD NIELSEN.      SLAGELSE ApS,SLAGELSE
32573827,Andelsboligforeningen Fønixgården 1,SLAGELSE
33736371,Kirsten Møldrup Uddannelse og Udvikling,SLAGELSE
29681619,WWW. RICHO.DK v/Richo Wisholm Nielsen,SLAGELSE
27729479,KISTEFLA EJENDOMSINVESTERING ApS,SLAGELSE
16050989,DEN SELVEJENDE INSTITUTION SLAGELSE TENNISCENTER,SLAGELSE
72573455,GÅRDEJER A JØRN CHRISTENSEN,SLAGELSE
21356697,CHEMEX                            V/ANDRE DAVIDIAN,SLAGELSE
14338136,Celal Kilic,SLAGELSE
29366349,GTI Transport v/Thomas Peter Hansen,SLAGELSE
21385638,METTE MONDRUP,SLAGELSE
27662528,pc-TDB I/S                        v/D Cartilli & K Madsen,SLAGELSE
39927810,B2B Carservice,SLAGELSE
15227400,ANDERS NIELSEN,SLAGELSE
25637666,Sams Gulvbelægning v/Nicolai Jelstrup,SLAGELSE
27431178,Salon Meduza                      v/Annia M.H. Brogaard,SLAGELSE
33149573,MY-RENGØRING ApS,SLAGELSE
19351084,REKORD RENS V/BIRTHE LARSEN,SLAGELSE
11838332,TANDLÆGE HANS JACOBSEN. SLAGELSE  ApS,SLAGELSE
30747763,Lægerne P H Kahlke & S Kabwa I/S v/Peter Henrik Kahlke og Sonia Kabwa,SLAGELSE
32200214,ARKITEKTFIRMA A/S TAGE CORFITSEN,SLAGELSE
37868922,M. G . Malerenterprise ivs,SLAGELSE
29215863,NYBOLIG JAN MILVERTZ A/S UNDER STIFTELSE,SLAGELSE
14046976,WESTRUP ELECTRONIC ApS,SLAGELSE
34548404,Børnefugleskydningsselskabet af 1847,SLAGELSE
39373505,TL Byg og Entreprise ApS,SLAGELSE
36424192,DE ALMENT PRAKTISERENDE LÆGER HJORTH & GRARUP ApS,SLAGELSE
27152589,KNA EJENDOMME ApS,SLAGELSE
33772912,DANSK RENGØRING & SERVICESELSKAB ApS,SLAGELSE
31488001,SITE PROJECT ApS,SLAGELSE
28327897,KRÆMMERHUS ApS,SLAGELSE
32013813,Klima Solutions v/Christian Pedersen,SLAGELSE
33530528,Slagelse Floorball,SLAGELSE
33427107,A/B Gadekæret,SLAGELSE
32844154,Andelsboligforeningen Ingemann,SLAGELSE
