,cvr_nummer,navn,kommune_navn,antal_ansatte
241,72573455,GÅRDEJER A JØRN CHRISTENSEN,SLAGELSE,0.0
242,21356697,CHEMEX                            V/ANDRE DAVIDIAN,SLAGELSE,0.0
243,14338136,Celal Kilic,SLAGELSE,0.0
244,29366349,GTI Transport v/Thomas Peter Hansen,SLAGELSE,0.0
245,21385638,METTE MONDRUP,SLAGELSE,0.0
246,27662528,pc-TDB I/S                        v/D Cartilli & K Madsen,SLAGELSE,0.0
247,39927810,B2B Carservice,SLAGELSE,0.0
248,15227400,ANDERS NIELSEN,SLAGELSE,0.0
249,25637666,Sams Gulvbelægning v/Nicolai Jelstrup,SLAGELSE,0.0
250,27431178,Salon Meduza                      v/Annia M.H. Brogaard,SLAGELSE,0.0
251,33149573,MY-RENGØRING ApS,SLAGELSE,4.0
252,19351084,REKORD RENS V/BIRTHE LARSEN,SLAGELSE,2.0
253,11838332,TANDLÆGE HANS JACOBSEN. SLAGELSE  ApS,SLAGELSE,4.0
254,30747763,Lægerne P H Kahlke & S Kabwa I/S v/Peter Henrik Kahlke og Sonia Kabwa,SLAGELSE,3.0
255,32200214,ARKITEKTFIRMA A/S TAGE CORFITSEN,SLAGELSE,5.0
256,37868922,M. G . Malerenterprise ivs,SLAGELSE,
257,29215863,NYBOLIG JAN MILVERTZ A/S UNDER STIFTELSE,SLAGELSE,69.0
258,14046976,WESTRUP ELECTRONIC ApS,SLAGELSE,0.0
259,34548404,Børnefugleskydningsselskabet af 1847,SLAGELSE,
260,39373505,TL Byg og Entreprise ApS,SLAGELSE,2.0
261,36424192,DE ALMENT PRAKTISERENDE LÆGER HJORTH & GRARUP ApS,SLAGELSE,5.0
262,27152589,KNA EJENDOMME ApS,SLAGELSE,1.0
263,33772912,DANSK RENGØRING & SERVICESELSKAB ApS,SLAGELSE,5.0
264,31488001,SITE PROJECT ApS,SLAGELSE,1.0
265,28327897,KRÆMMERHUS ApS,SLAGELSE,6.0
266,32844154,Andelsboligforeningen Ingemann,SLAGELSE,
267,25366107,Klaus Juul Polering               V/Klaus Juul Elboth,SLAGELSE,0.0
268,33422121,"Gundejerforeningen Højen, Slots Bjergby",SLAGELSE,
269,40148744,Grundejerforeningen Kongstedparken,SLAGELSE,
270,31974062,Storebæltskoret Korsør,SLAGELSE,
271,34384274,Marinegarden Venner,SLAGELSE,
272,36549130,FINANCE 4U ApS,SLAGELSE,1.0
273,82983317,SLAGELSE MC-CENTER ApS,SLAGELSE,4.0
274,35928790,Manana Manana,SLAGELSE,0.0
275,32795501,Anholm Multiservice v/Jesper Anholm Kristensen,SLAGELSE,0.0
276,37417491,Michael Kirkegaard Holding ApS,SLAGELSE,
277,20100397,TØMRERMESTER ERLING SØRENSEN A/S,SLAGELSE,6.0
278,17560719,HEJNINGE MENIGHEDSRÅD             V/CHRISTENSEN,SLAGELSE,3.0
279,55889015,KØBMAND J.Ø. ANDRESENS LEGAT FOR NAKSKOV OG SLAGELSE,SLAGELSE,0.0
280,37393622,Venneforeningen for Guldagergaard,SLAGELSE,
281,25862597,TONY HELDAL HOLDING ApS,SLAGELSE,
