cvr_nummer,navn,kommune_navn,antal_ansatte
33630220,Flisa's Flid v/Elisabeth Skov Ursin,SLAGELSE,0
19255573,Multi Import                      v/Johnny Dall,SLAGELSE,1
20544686,KR BYGGESERVICE ApS,SLAGELSE,3
15706996,VICH 3316 ApS,SLAGELSE,0
73895111,SALON GITTE V/GITTE HANSSON,SLAGELSE,0
32516653,Biavlerforeningen i Ny Slagelse,SLAGELSE,
30483502,Senior Erhverv Vest- og Midtsjælland,SLAGELSE,
19027279,MK POLERING                       V/MICHAEL KIRKESKOV HANSEN,SLAGELSE,1
17322494,MICHAEL VEJLGAARD ØRNSKJOLD,SLAGELSE,0
34357692,Skovly,SLAGELSE,
32380379,Ungdomsklubben Stjernen,SLAGELSE,
46920112,SLAGELSE SVØMMEKLUB,SLAGELSE,14
53488528,KELDSTRUP FORSAMLINGSHUS,SLAGELSE,
31105854,Ztrong,SLAGELSE,0
25856902,Shape v/Lene Holst Hansen,SLAGELSE,1
16367583,POUL W NIELSEN & SØN              V/MICHAEL NIELSEN,SLAGELSE,0
86587416,VOGNMAND TOMMY KLINT NIELSEN,SLAGELSE,2
39857871,Tårnborg eSport,SLAGELSE,
34518483,foreningen Tao Centret,SLAGELSE,
34470480,NETOMSORG ApS,SLAGELSE,
31669820,kismer multi energi v/Henrik Kismer Hansen,SLAGELSE,
12534272,CH FRUGT ApS,SLAGELSE,4
25330242,SLAGELSE ENTREPRENØRSERVICE ApS,SLAGELSE,3
25893476,K.S. Auto v/Kenneth Hansen,SLAGELSE,0
35310053,Haveforeningen Fasanvænget,SLAGELSE,
36925655,Optimus Anlæg A/S,SLAGELSE,12
32107079,Diels v/Jørn Dirksen,SLAGELSE,0
80414811,TINGHØJGÅRD                       V/HARLY NIELSEN,SLAGELSE,1
21252174,SLAGELSE-KORSØR PROVSTIUDVALG     V/PROVST OLE CHR. IVERTSEN,SLAGELSE,2
77329013,CENTERSKOMAGEREN                  V/FRANDS CHRISTIANSEN,SLAGELSE,1
33767234,WEB COMPANIES HOLDING ApS,SLAGELSE,
37430021,w.c transport,SLAGELSE,0
32635148,Andelsboligforeningen Lovsø,SLAGELSE,
34397627,Frisør Lotte Heidel,SLAGELSE,0
29917159,KARSTEN THUNBO HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,SLAGELSE,
25508696,Ballegaard Consult v/Niels Ulrich Ballegaard,SLAGELSE,0
25760107,KISTEFLA HOLDING ApS,SLAGELSE,
27285163,SP ITConsult v/Steen Petersen,SLAGELSE,0
26760461,Dissing Consult & Sales           v/Jens E. Dissing,SLAGELSE,0
26351634,Realmæglerne                      Gade Nielsen,SLAGELSE,1
34840989,Socialkonsulent/Mette Schæffer Jørgensen,SLAGELSE,
29983100,Scansolutions v/Morten Andersen,SLAGELSE,0
80493312,Hans Erich Steenberg,SLAGELSE,2
28192959,Vestsjællands Bilsyn v/Niels Holger Rask Larsen,SLAGELSE,7
36184620,GHISALLO ApS,SLAGELSE,
31366623,DOWNTOWN ApS,SLAGELSE,3
32495230,Fonden Andersen Netværk,SLAGELSE,25
30657918,SPAR v/Michella Skovgård Nielsen,SLAGELSE,4
29612706,MJJM A/S,SLAGELSE,
32473148,REGISTRATION DENMARK ApS,SLAGELSE,23
33723881,Vemmelevhallens Cafeteria v/Michelle Kiralyfalvy,SLAGELSE,0
32793886,Ejerforeningen Ndr.Stationsvej 14y,SLAGELSE,
32409342,2. Hellig Anders Gruppe,SLAGELSE,
32812554,Ejerforeningen Slotsgade 4-6,SLAGELSE,
26792452,Dino's automobiler                v/Hüdai Yilmaz,SLAGELSE,1
27394795,BF ANDERSEN HOLDING ApS,SLAGELSE,1
39062038,Jess International ApS,SLAGELSE,
40843876,CO2 Danmark ApS,SLAGELSE,
32375170,Andelsboligforeningen Grevens Træer,SLAGELSE,
35960805,Bildsø Camping og feriekoloni,SLAGELSE,0
32050255,KORSØR KART KLUB V/SVEN LAUTRUP,SLAGELSE,1
17930702,KTX 29/7 1994 ApS,SLAGELSE,4
29396361,SAF-ENERGI A/S,SLAGELSE,1
26863899,SK-NET A/S,SLAGELSE,
34384029,Gerlev Idrætshøjskoles elevforening,SLAGELSE,
33413149,"Ejerforeningen Skovvej 21-23, 4220 Korsør",SLAGELSE,
31964202,Klaus Kvist Rasmussen,SLAGELSE,0
33665725,Korsør Gymnastikforening,SLAGELSE,
36370599,Svalebjerg MC,SLAGELSE,0
31742951,ANDELSSELSKABET LILLE EBBERUP-NÆSBYSKOV VANDVÆRK,SLAGELSE,
28495498,GEORG BERG EJENDOMME ApS,SLAGELSE,
33995385,Korsør Politihundeforening,SLAGELSE,
30164873,Antvorskov Badmintonklub,SLAGELSE,
29235457,KA-Service v/ Kim Andersen,SLAGELSE,0
30291107,"Husstyrelsen for ""Kløverhust"" og "" Huset ved Skoven""",SLAGELSE,1
32963943,Andelsboligforeningen Skytteengen IV,SLAGELSE,
10151511,SEJS HOLDING ApS,SLAGELSE,
30159004,Inyou v/Ninna Lundsgaard Jørgensen,SLAGELSE,
36229977,Ejerforeningen Algade 22,SLAGELSE,
33093098,Hvid & Co v/Charlotte Mejlgård Hvid,SLAGELSE,0
33544987,Skælskør Billard Club af 76,SLAGELSE,
25860519,MALERMESTER P. NIELSEN OG HUSTRUS STIFTELSE FOR VELAGTEDE BORGERE I SLAGELSE BY,SLAGELSE,0
26303788,Fifo Network                      v/Thomas Jensen,SLAGELSE,1
